Date : 2021-08-29 02:49:00
Directory : d:\Dev\Beer-Bulletin\beer-bulletin
Total : 105 files,  26875 codes, 565 comments, 1189 blanks, all 28629 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          5 |     16,983 |          0 |          5 |     16,988 |
| JavaScript       |         49 |      5,333 |        420 |        659 |      6,412 |
| JavaScript React |         45 |      3,960 |        145 |        423 |      4,528 |
| HTML             |          1 |        489 |          0 |         68 |        557 |
| CSS              |          2 |         67 |          0 |         10 |         77 |
| Markdown         |          1 |         37 |          0 |         19 |         56 |
| XML              |          1 |          4 |          0 |          0 |          4 |
| SQL              |          1 |          2 |          0 |          5 |          7 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        105 |     26,875 |        565 |      1,189 |     28,629 |
| components                                                                             |         30 |      3,007 |         83 |        281 |      3,371 |
| components\Chat                                                                        |          1 |         46 |          1 |          5 |         52 |
| components\ablyChat                                                                    |          2 |        178 |          5 |         26 |        209 |
| components\beerPong                                                                    |          1 |         26 |          1 |          5 |         32 |
| components\bottomNav                                                                   |          2 |        164 |          6 |         24 |        194 |
| components\buttons                                                                     |          5 |        138 |          1 |         20 |        159 |
| components\forms                                                                       |          5 |      1,515 |         42 |        102 |      1,659 |
| components\modals                                                                      |          1 |          0 |          0 |          1 |          1 |
| components\search-bulletins                                                            |          2 |        135 |          2 |         17 |        154 |
| components\users-bulletins                                                             |          3 |        520 |         10 |         34 |        564 |
| db                                                                                     |         18 |        730 |         13 |         62 |        805 |
| db\config                                                                              |          2 |         60 |          0 |          5 |         65 |
| db\migrations                                                                          |          5 |        177 |          0 |          5 |        182 |
| db\models                                                                              |          4 |        209 |          8 |         24 |        241 |
| db\mongoDB                                                                             |          2 |         55 |          5 |         12 |         72 |
| db\mongoDB\models                                                                      |          1 |         23 |          0 |          3 |         26 |
| db\seeders                                                                             |          4 |        227 |          0 |         11 |        238 |
| middleware                                                                             |          3 |         92 |         23 |         14 |        129 |
| pages                                                                                  |         34 |      1,826 |        108 |        228 |      2,162 |
| pages\Auth                                                                             |          1 |         81 |          2 |         10 |         93 |
| pages\CurrentChats                                                                     |          2 |        137 |          8 |         25 |        170 |
| pages\SearchBulletins                                                                  |          2 |        100 |          5 |         23 |        128 |
| pages\UserProfile                                                                      |          1 |         94 |          3 |         18 |        115 |
| pages\UsersBulletins                                                                   |          2 |        148 |          4 |         25 |        177 |
| pages\api                                                                              |         20 |        963 |         51 |         93 |      1,107 |
| pages\api\images                                                                       |          2 |         72 |          9 |         14 |         95 |
| pages\api\messages                                                                     |          2 |         31 |          2 |         10 |         43 |
| pages\api\offers                                                                       |          4 |        177 |          0 |         18 |        195 |
| pages\api\offers\with-trades                                                           |          2 |         65 |          0 |          8 |         73 |
| pages\api\trades                                                                       |          4 |        197 |          8 |         18 |        223 |
| pages\api\trades\with-offers                                                           |          2 |         90 |          2 |          7 |         99 |
| pages\api\users                                                                        |          6 |        404 |         22 |         26 |        452 |
| pages\api\users\with-offers                                                            |          2 |        139 |          9 |          8 |        156 |
| pages\api\users\with-trades                                                            |          2 |        124 |          5 |          6 |        135 |
| public                                                                                 |          8 |      4,160 |        317 |        543 |      5,020 |
| public\beerPong                                                                        |          7 |      4,156 |        317 |        543 |      5,016 |
| public\beerPong\ammo                                                                   |          2 |      1,056 |          5 |         17 |      1,078 |
| styles                                                                                 |          2 |         92 |          4 |          5 |        101 |
| util                                                                                   |          6 |        154 |         17 |         34 |        205 |
| util\hooks                                                                             |          4 |        138 |         10 |         32 |        180 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                               | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| d:\Dev\Beer-Bulletin\beer-bulletin\README.md                                           | Markdown         |         37 |          0 |         19 |         56 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\Chat\chatCard.jsx                        | JavaScript React |         46 |          1 |          5 |         52 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\Footer.jsx                               | JavaScript React |          0 |          0 |          1 |          1 |
| d:\Dev\Beer-Bulletin\beer-bulletin\components\ImageUpload.jsx                          | JavaScript React |         81 |          6 |         14 |        101 |
